tid;ord;plats;ratt;;
27.083;sie haben;mitten;;;
28.593;Sie haben;Vhörn;;;
30.057;sie hat;Hhörn;;;
31.553;ich habe;mitten;;;
33.061;ihr habt;Vhörn;;;
34.587;wir haben;Hhörn;;;
36.089;es hat;mitten;;;
37.591;er hat;Vhörn;;;
39.081;du hast;Hhörn;;;
40.575;sie haben;mitten;;;
42.085;Sie haben;Vhörn;;;
43.579;sie hat;Hhörn;;;
45.073;ich habe;mitten;;;
46.585;ihr habt;Vhörn;;;
48.087;wir haben;Hhörn;;;
49.579;es hat;mitten;;;
51.091;er hat;Vhörn;;;
52.575;du hast;Hhörn;;;
54.079;sie haben;mitten;;;
55.563;Sie haben;Vhörn;;;
57.073;sie hat;Hhörn;;;
58.583;ich habe;mitten;;;
60.083;ihr habt;Vhörn;;;
61.583;wir haben;Hhörn;;;
63.083;es hat;mitten;;;
64.585;er hat;Vhörn;;;
66.085;du hast;Hhörn;;;
67.585;sie haben;mitten;;;
69.085;Sie haben;Vhörn;;;
70.587;sie hat;Hhörn;;;
72.087;ich habe;mitten;;;
73.587;ihr habt;Vhörn;;;
75.087;wir haben;Hhörn;;;
76.589;es hat;mitten;;;
78.089;er hat;Vhörn;;;
79.589;du hast;Hhörn;;;
79.589;sie haben;mitten;;;
81.089;Sie haben;Vhörn;;;
82.591;sie hat;Hhörn;;;
82.591;ich habe;mitten;;;
84.091;ihr habt;Vhörn;;;
85.591;wir haben;Hhörn;;;
85.591;es hat;mitten;;;
87.091;er hat;Vhörn;;;
88.593;du hast;Hhörn;;;
88.593;sie haben;mitten;;;
90.093;Sie haben;Vhörn;;;
91.593;sie hat;Hhörn;;;
93.093;ich habe;mitten;;;
94.595;ihr habt;Vhörn;;;
94.595;wir haben;Hhörn;;;
96.095;es hat;mitten;;;
97.595;er hat;Vhörn;;;
97.595;du hast;Hhörn;;;
99.095;sie haben;mitten;;;
100.595;Sie haben;Vhörn;;;
102.095;sie hat;Hhörn;;;
103.595;ich habe;mitten;;;
105.095;ihr habt;Vhörn;;;
106.595;wir haben;Hhörn;;;
108.095;es hat;mitten;;;
109.595;er hat;Vhörn;;;
109.595;du hast;Hhörn;;;
111.095;sie haben;mitten;;;
112.595;Sie haben;Vhörn;;;
112.595;sie hat;Hhörn;;;
114.095;ich habe;mitten;;;
115.595;ihr habt;Vhörn;;;
115.595;wir haben;Hhörn;;;
117.095;es hat;mitten;;;
118.595;er hat;Vhörn;;;
118.595;du hast;Hhörn;;;
120.095;sie haben;mitten;;;
121.595;Sie haben;Vhörn;;;
121.595;sie hat;Hhörn;;;
123.095;ich habe;mitten;;;
124.595;ihr habt;Vhörn;;;
124.595;wir haben;Hhörn;;;
126.095;es hat;mitten;;;
127.595;er hat;Vhörn;;;
127.595;du hast;Hhörn;;;
129.095;sie haben;mitten;;;
130.595;Sie haben;Vhörn;;;
130.595;sie hat;Hhörn;;;
132.095;ich habe;mitten;;;
133.595;ihr habt;Vhörn;;;
133.595;wir haben;Hhörn;;;
135.095;es hat;mitten;;;
136.595;er hat;Vhörn;;;
136.595;du hast;Hhörn;;;
138.095;sie haben;mitten;;;
139.595;Sie haben;Vhörn;;;
139.595;sie hat;Hhörn;;;
141.095;ich habe;mitten;;;
142.595;ihr habt;Vhörn;;;
142.595;wir haben;Hhörn;;;
144.095;es hat;mitten;;;
145.595;er hat;Vhörn;;;
145.595;du hast;Hhörn;;;
147.095;sie haben;mitten;;;
148.595;Sie haben;Vhörn;;;
148.595;sie hat;Hhörn;;;
150.095;ich habe;mitten;;;
151.595;ihr habt;Vhörn;;;
151.595;wir haben;Hhörn;;;
153.095;es hat;mitten;;;
154.595;er hat;Vhörn;;;
154.595;du hast;Hhörn;;;
156.095;sie haben;mitten;;;
157.595;Sie haben;Vhörn;;;
157.595;sie hat;Hhörn;;;
159.095;ich habe;mitten;;;
160.595;ihr habt;Vhörn;;;
160.595;wir haben;Hhörn;;;
162.095;es hat;mitten;;;
163.595;er hat;Vhörn;;;
163.595;du hast;Hhörn;;;
165.095;sie haben;mitten;;;
166.595;Sie haben;Vhörn;;;
166.595;sie hat;Hhörn;;;
168.095;ich habe;mitten;;;
169.595;ihr habt;Vhörn;;;
169.595;wir haben;Hhörn;;;
171.095;es hat;mitten;;;
172.595;er hat;Vhörn;;;
172.595;du hast;Hhörn;;;
174.095;sie haben;mitten;;;
175.595;Sie haben;Vhörn;;;
175.595;sie hat;Hhörn;;;
177.095;ich habe;mitten;;;
178.595;ihr habt;Vhörn;;;
178.595;wir haben;Hhörn;;;
